number,value,datetime_start,datetime_complete,duration,params_approach_bonus_base,params_dead_end_penalty,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_down_opening_bonus,params_enemy_door_penalty,params_ladder_bonus,params_max_kept_repairs,params_own_door_bonus,params_retreat_penalty,params_side_step_bonus,state
61,1.110474546550496,2026-05-10 18:22:19.493707,2026-05-10 18:22:26.933039,0 days 00:00:07.439332,36.15520207932556,69.60946995535984,26.377382107212043,71.06365818483397,-9.47109101650073,-13.101623553378431,-33.20265592326525,-30.834996105695527,81.79796444554648,-19.95615713846592,19.156896916585463,13.802601609604354,29.922641477967126,0,14.124584160621287,44.324822669316426,3.0230017626761017,COMPLETE
62,1.1945351455467839,2026-05-10 18:22:26.933085,2026-05-10 18:22:35.445338,0 days 00:00:08.512253,49.89192315680238,65.78010185056233,19.67858347078798,64.38397568695231,-15.033403237392163,-8.222958119347656,-27.22259500197906,-32.31201164185708,90.4433335998363,-12.434918401216814,32.65927487495681,12.696210171536125,22.899886835778627,0,10.312615243991505,48.886974549432,7.257391676310727,COMPLETE
63,1.1608807354510384,2026-05-10 18:22:35.445382,2026-05-10 18:22:47.392688,0 days 00:00:11.947306,40.87388461010654,38.040940581483795,27.53444717300584,67.40561188954997,-12.622166167786716,-11.56721302939838,-24.697589539002095,-38.39504146442771,84.98570117509,-10.637906868666283,22.111050242374482,7.942137023500577,26.578565280715747,0,11.614592210925926,51.582039750410566,9.26143389505933,COMPLETE
64,1.1801029230135858,2026-05-10 18:22:47.392735,2026-05-10 18:22:58.166577,0 days 00:00:10.773842,34.79980335934421,73.57284838187192,21.379882650975777,72.69157106820795,-5.422367729296147,-16.452927073589365,-30.124735215135225,-40.55195666137004,86.32102649668198,-16.995920588034142,26.47687354364952,14.97999325389214,27.85076940823118,0,1.2318965716758359,57.32785968501291,6.104213938322336,COMPLETE
65,1.2468771580895557,2026-05-10 18:22:58.166669,2026-05-10 18:23:10.158935,0 days 00:00:11.992266,30.67040375067383,34.22691121014454,29.351338353062594,76.45810346574737,-18.278961223215653,-4.539108922873449,-7.487416304162153,-42.7234404632014,76.05193737840668,-13.62885514415609,15.7935954554305,11.645863645882068,29.01256990530014,0,13.85200966301286,46.32278100957683,10.660864078844336,COMPLETE
66,1.2550098231827111,2026-05-10 18:23:10.159019,2026-05-10 18:23:21.379820,0 days 00:00:11.220801,43.31786991655217,30.93095155538809,17.66998810895562,62.84102407498345,-9.672663697446177,-10.482068106379375,-33.2000744773237,-9.805032149948106,62.49608624375422,-9.73610343115498,30.125181754512415,19.33262512765496,31.094364168599462,0,6.924279480062343,65.62483237910352,7.8975811687935895,COMPLETE
67,1.2447671876265285,2026-05-10 18:23:21.379865,2026-05-10 18:23:35.882133,0 days 00:00:14.502268,43.67029535134336,22.295043834059257,-7.375741106743646,63.51199063776214,-10.552848254753828,-10.563796499683598,-28.152618797997352,-8.748766826629728,60.911055166240956,-10.092064045522406,30.895495266300262,16.163784038152514,31.133545899838502,0,8.089027672186331,65.52146326918815,7.690983719726894,COMPLETE
68,1.2134764826175868,2026-05-10 18:23:35.882179,2026-05-10 18:23:51.617902,0 days 00:00:15.735723,47.932205170083115,31.19818567056338,17.204255835230935,69.61277599395372,-13.588411952330437,-8.156720892743316,-26.299845155837343,-3.6110339290830975,63.18925102642793,-16.671922504963113,12.964366661143961,18.812850208130058,11.402077979830555,0,9.218407805689516,60.02758740479497,4.712396976711516,COMPLETE
69,1.2150050675212973,2026-05-10 18:23:51.617955,2026-05-10 18:24:03.931307,0 days 00:00:12.313352,56.94683356367204,35.900049647416566,22.919714068183197,66.06989078533582,-9.31053127646367,-14.023716028751995,-33.34505804740737,-10.230071014069141,70.00084681501421,-12.03377933587281,34.483102444883734,14.264865797508591,20.189970859326888,0,5.257189401193207,69.55505493194062,5.516249163400875,COMPLETE
70,1.2030328430164077,2026-05-10 18:24:03.931355,2026-05-10 18:24:15.894052,0 days 00:00:11.962697,39.48781116687192,62.950690331798775,-3.0401961463324385,61.29852408302187,-3.743120351845471,-12.090655671842743,-30.0158464595628,-6.826434914393204,56.3261756119859,-14.793321666708081,24.032576541089053,33.86991704585891,25.80628975820101,0,14.776763764484668,64.81105550169536,8.145612605346722,COMPLETE
71,1.2059458155800304,2026-05-10 18:24:15.894100,2026-05-10 18:24:27.059405,0 days 00:00:11.165305,36.86744153580098,57.38885070290568,16.91394599877035,52.49465385117182,-11.48108843659432,-5.974558302362423,-32.32526624875058,-4.966314272526494,94.83231612715358,-9.380126617183798,21.22295839167186,24.751243463570283,33.1255193781953,0,6.734332198954698,42.090857891667476,8.75948917427193,COMPLETE
72,1.234810042946812,2026-05-10 18:24:27.059444,2026-05-10 18:24:34.546166,0 days 00:00:07.486722,33.27400999406415,29.74410758649985,20.026087534681878,58.42786541175006,-7.813457182184585,-9.957253963839833,-39.721686957776114,-10.92915514687019,87.98159166467136,-13.889877363622354,10.40999724361311,19.452020517533686,30.18861941054523,0,13.575793742132873,39.70433148218184,12.03489448977808,COMPLETE
73,1.239944652449943,2026-05-10 18:24:34.546207,2026-05-10 18:24:42.207891,0 days 00:00:07.661684,30.000132029849023,24.80882138390158,1.3756991258506748,68.01542252865353,-15.312904921487668,-13.535041575444165,-35.102883642634986,-33.35762679772474,82.13977629620257,-18.278600251210552,37.672059915952616,21.896770824737963,23.067313344073543,0,12.240303588362572,47.92429694197355,9.660110593178661,COMPLETE
74,1.2475368815714403,2026-05-10 18:24:42.207931,2026-05-10 18:24:49.501761,0 days 00:00:07.293830,42.22005611529596,32.4377311445163,14.024929532076293,27.754741790573362,-17.834663051378495,-16.308061305183042,-29.112173487548468,-22.03552420053153,91.45638567289687,-11.963557233156175,42.22795072862408,12.338516639484443,35.31072424115739,0,10.993271470056973,55.313787571812746,0.5421047004883859,COMPLETE
75,1.219051987767584,2026-05-10 18:24:49.501802,2026-05-10 18:24:56.401763,0 days 00:00:06.899961,34.553470573175616,45.79254736059249,18.002706637565936,72.2415119716349,-12.130453616333712,-8.814532073828143,-31.407598108316538,-37.8898770378494,94.1743268061764,-15.985213368941082,27.794934532156905,10.906295895678696,25.087825847089945,0,10.065230250974242,72.68146134988687,7.017378936516499,COMPLETE
